289670:99999,KARASUL,RA,,,52.667,65.5,209
579270:99999,APPROXIMATE LOCALE,CI,,,25.283,107.3,0
110120:99999,KREMSMUENSTER,OS,,,48.05,14.133,388
81410:99999,VALLADOLID,SP,,,41.65,-4.767,735
577660:99999,SHAOYANG,CI,,,27.233,111.467,248
409730:99999,BACKWA,AH,,,32.233,62.967,724
231030:99999,HODOVARIHA,RA,,,68.933,53.767,11
788077:99999,SANTIAGO,PM,,,8.083,-80.95,83
225730:99999,LESUKONSKOJE,RS,,,64.9,45.767,66
386850:99999,KARAKUL-IN-UZBEK,RA,,,39.5,63.85,196
66190:99999,LA FRETAZ,SW,,,46.833,6.583,0
544740:99999,BOGUS CHINESE,CI,,,40.5,122.167,0
546020:99999,BAODING,CI,,,38.85,115.567,19
12580:99999,TRONDHEIM (TYHOLT),NO,,,63.417,10.433,113
314440:99999,KUMARA-IN-AMUR,RA,,,51.567,126.717,173
517080:99999,AK-TO,CI,,,39.083,76.033,0
433250:99999,SALEM,IN,,,11.65,78.167,279
366220:99999,AJAGUZ,RA,,,47.967,80.45,662
484340:99999,CHOK CHAI,TH,,,14.717,102.167,0
374830:99999,ANASEULI,RS,,,41.917,41.983,174
319810:99999,ANUCINO,RA,,,43.967,133.067,190
710736:99999,FORT RELIANCE     &,CN,,,62.717,-109.167,160
237240:99999,NJAKSIMVOL`,RA,,,62.433,60.867,50
228330:99999,KOLODOZERO,RS,,,61.783,37.75,128
656780:99999,BOGUS LIBERIAN,LI,,,0,0,0
317040:99999,POMPEYEVKA,RA,,,48.35,130.8,91
227250:99999,SHUNGA,RS,,,62.6,34.95,48
679950:99999,BOGUS ZIMBABWEAN,ZW,,,0,0,0
247130:99999,NAKANNO,RA,,,62.9,108.5,246
913520:99999,PINGELAP ATOLL(AUT),KA,,,6.217,160.717,4
643970:99999,MUHINGA,BI,,,-2.833,30.333,1755
947780:99999,GLEN INNES,AU,,,-29.733,151.733,1062
24810:99999,SALA,SN,,,59.917,16.683,58
826890:99999,SAO GONCALO,BZ,,,-6.75,-38.217,233
959610:99999,LOW ROCKY PT(AWS),AU,,,-42.983,145.5,35
783350:99999,AGUADA DE PASAJEROS,CU,,,22.383,-80.85,22
167480:99999,KARPATHOS (TOWN),GR,,,35.517,27.25,20
101300:99999,ELPERSBUETTEL (AUT),DL,,,54.067,9.017,1
488260:99999,PHU LIEN,VS,,,20.8,106.633,119
478250:99999,HOSOSHIMA (LGT-H),JP,,,32.417,131.683,96
563850:99999,EMEI SHAN,CI,,,29.517,103.333,3049
434220:99999,MAHA ILLUPPALLAMA,SB,,,8.117,80.467,137
155460:99999,SAMOUIL,BU,,,43.517,26.75,475
406450:99999,BOGUS IRAQI,IQ,,,0,0,0
20130:99999,RITSEM,SN,,,67.733,17.467,532
339340:99999,DZANKOJ,UR,,,45.717,34.4,18
561940:99999,BOGUS CHINESE,CI,,,0,0,0
41680:99999,SANDBUDIR,GL,,,64.933,-17.983,821
309780:99999,KAJLASTUJ,RA,,,49.833,118.383,550
62250:99999,IJMUIDEN,NL,,,52.467,4.583,19
374480:99999,AKHMETA,RS,,,42.033,-45.217,518
162400:99999,ROME,IY,,,41.9,12.483,95
246910:99999,DELYANKIR,RA,,,63.833,145.617,802
471370:99999,BOGUS KOREAN,KO,,,0,0,0
831900:99999,SERRINHA,BZ,,,-11.633,-38.967,359
433240:99999,ARIYALUR,IN,,,11,79,75
728937:99999,CHATHAM POINT (LH),CN,,,50.333,-125.433,20
943350:99999,CLONCURRY COMPOSITE,AU,,,-20.7,140.517,200
716373:99999,OLIPHANTONT,CN,,,44.733,-81.283,182
228240:99999,LADVA-VETKA,RS,,,61.35,34.65,57
831950:99999,ITABAIANINHA,BZ,,,-11.117,-37.817,208
150910:99999,BOGUS ROMANIAN,RO,,,0,0,183
